STATEFP,COUNTYFP,GEOID,NAME,FullName,state,customers
1,1,1001,Autauga,Autauga County,AL,24653
1,3,1003,Baldwin,Baldwin County,AL,188383
1,5,1005,Barbour,Barbour County,AL,6640
1,7,1007,Bibb,Bibb County,AL,11036
1,9,1009,Blount,Blount County,AL,27048
1,11,1011,Bullock,Bullock County,AL,8727
1,13,1013,Butler,Butler County,AL,12325
1,15,1015,Calhoun,Calhoun County,AL,60766
1,17,1017,Chambers,Chambers County,AL,8722
1,19,1019,Cherokee,Cherokee County,AL,5837
1,21,1021,Chilton,Chilton County,AL,19414
1,23,1023,Choctaw,Choctaw County,AL,3227
1,25,1025,Clarke,Clarke County,AL,6167
1,27,1027,Clay,Clay County,AL,4021
1,29,1029,Cleburne,Cleburne County,AL,6993
1,31,1031,Coffee,Coffee County,AL,31347
1,33,1033,Colbert,Colbert County,AL,717
1,35,1035,Conecuh,Conecuh County,AL,5906
1,37,1037,Coosa,Coosa County,AL,4170
1,39,1039,Covington,Covington County,AL,26189
1,41,1041,Crenshaw,Crenshaw County,AL,8129
1,43,1043,Cullman,Cullman County,AL,49718
1,45,1045,Dale,Dale County,AL,14116
1,47,1047,Dallas,Dallas County,AL,19165
1,49,1049,DeKalb,DeKalb County,AL,0
1,51,1051,Elmore,Elmore County,AL,38649
1,53,1053,Escambia,Escambia County,AL,18593
1,55,1055,Etowah,Etowah County,AL,52815
1,57,1057,Fayette,Fayette County,AL,7831
1,59,1059,Franklin,Franklin County,AL,9008
1,61,1061,Geneva,Geneva County,AL,11712
1,63,1063,Greene,Greene County,AL,1882
1,65,1065,Hale,Hale County,AL,3553
1,67,1067,Henry,Henry County,AL,4498
1,69,1069,Houston,Houston County,AL,41705
1,71,1071,Jackson,Jackson County,AL,18
1,73,1073,Jefferson,Jefferson County,AL,358624
1,75,1075,Lamar,Lamar County,AL,6221
1,77,1077,Lauderdale,Lauderdale County,AL,49334
1,79,1079,Lawrence,Lawrence County,AL,2964
1,81,1081,Lee,Lee County,AL,39706
1,83,1083,Limestone,Limestone County,AL,556
1,85,1085,Lowndes,Lowndes County,AL,5948
1,87,1087,Macon,Macon County,AL,8425
1,89,1089,Madison,Madison County,AL,198770
1,91,1091,Marengo,Marengo County,AL,5109
1,93,1093,Marion,Marion County,AL,14058
1,95,1095,Marshall,Marshall County,AL,244
1,97,1097,Mobile,Mobile County,AL,110135
1,99,1099,Monroe,Monroe County,AL,10522
1,101,1101,Montgomery,Montgomery County,AL,137567
1,103,1103,Morgan,Morgan County,AL,27770
1,105,1105,Perry,Perry County,AL,2145
1,107,1107,Pickens,Pickens County,AL,8260
1,109,1109,Pike,Pike County,AL,19042
1,111,1111,Randolph,Randolph County,AL,5327
1,113,1113,Russell,Russell County,AL,14249
1,115,1115,St. Clair,St. Clair County,AL,41320
1,117,1117,Shelby,Shelby County,AL,111917
1,119,1119,Sumter,Sumter County,AL,3315
1,121,1121,Talladega,Talladega County,AL,33090
1,123,1123,Tallapoosa,Tallapoosa County,AL,13295
1,125,1125,Tuscaloosa,Tuscaloosa County,AL,123533
1,127,1127,Walker,Walker County,AL,32987
1,129,1129,Washington,Washington County,AL,2553
1,131,1131,Wilcox,Wilcox County,AL,5529
1,133,1133,Winston,Winston County,AL,12676
2,13,2013,Aleutians East,Aleutians East Borough,AK,0
2,16,2016,Aleutians West,Aleutians West Census Area,AK,0
2,20,2020,Anchorage,Anchorage Municipality,AK,110430
2,50,2050,Bethel,Bethel Census Area,AK,0
2,60,2060,Bristol Bay,Bristol Bay Borough,AK,0
2,63,2063,Chugach,Chugach Census Area,AK,0
2,66,2066,Copper River,Copper River Census Area,AK,0
